FY,Qtr,Month,Day of the Week,Date,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Total,data_as_of,data_loaded_at
FY98,1998Q3,January,hol,1998/01/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025/05/28 02:24:39 PM,2025/05/28 02:25:59 PM
FY98,1998Q3,January,w,1998/01/02,2042,4854,2168,2123,5228,2138,3388,4020,5880,1985,4390,3331,2723,3046,2779,1748,2292,3657,1509,2198,3511,1422,1358,2737,2227,12818,19133,15558,7324,4293,6393,3940,5759,4079,3543,892,1222,483,2462,,,,,,,,,,,,160653,2025/05/28 02:24:39 PM,2025/05/28 02:25:59 PM
FY98,1998Q3,January,sa,1998/01/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2025/05/28 02:24:39 PM,2025/05/28 02:25:59 PM
FY98,1998Q3,January,su,1998/01/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2025/05/28 02:24:39 PM,2025/05/28 02:25:59 PM
FY98,1998Q3,January,w,1998/01/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2025/05/28 02:24:39 PM,2025/05/28 02:25:59 PM
FY98,1998Q3,January,w,1998/01/06,2643,7613,3787,3124,9791,3370,5024,7033,9309,2934,6500,3714,4158,4101,4279,2599,3585,5347,5300,6200,5577,3015,2699,4510,3432,23969,28647,17513,10939,5887,9159,6207,8714,5962,5784,1479,4206,1436,3647,,,,,,,,,,,,253193,2025/05/28 02:24:39 PM,2025/05/28 02:25:59 PM
FY98,1998Q3,January,w,1998/01/07,2653,6993,3631,3334,9500,3288,5023,6858,9276,3060,6075,4646,4208,4040,4343,2588,3595,5560,5200,6200,5520,2963,2723,4508,3412,24322,33707,17956,11740,5943,8889,6249,8621,5884,5892,1555,4363,1491,3706,,,,,,,,,,,,259515,2025/05/28 02:24:39 PM,2025/05/28 02:25:59 PM
FY98,1998Q3,January,w,1998/01/08,2620,6816,3751,3332,9791,3333,5062,7109,9437,3009,6500,3858,4248,4181,4178,2614,3597,5473,5300,6200,5737,2948,2773,4573,3562,24860,34543,18289,11513,6081,9001,6274,8622,5882,5818,1487,4100,1363,3653,,,,,,,,,,,,261488,2025/05/28 02:24:39 PM,2025/05/28 02:25:59 PM
FY98,1998Q3,January,w,1998/01/09,2699,7530,6816,3330,9500,3225,4967,6803,8945,3140,5882,4679,4095,4015,4046,2536,3407,5326,5200,5800,5327,2726,2637,4342,3418,23638,32222,17962,10897,6002,9018,5995,8190,5740,5720,1459,4169,1361,3566,,,,,,,,,,,,256330,2025/05/28 02:24:39 PM,2025/05/28 02:25:59 PM
FY98,1998Q3,January,sa,1998/01/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2025/05/28 02:24:39 PM,2025/05/28 02:25:59 PM
FY98,1998Q3,January,su,1998/01/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2025/05/28 02:24:39 PM,2025/05/28 02:25:59 PM
FY98,1998Q3,January,w,1998/01/12,2528,6613,6613,2939,8996,3171,4707,6870,8651,3622,5666,3409,3803,3857,4091,2394,3340,4716,5200,6200,5219,2856,2634,4128,3120,22762,31946,14603,10768,5702,8620,5876,8280,5609,5653,1387,3987,1452,3592,,,,,,,,,,,,245580,2025/05/28 02:24:39 PM,2025/05/28 02:25:59 PM
